date	hosted_by	workshop	city	instructors	country
March 2024	University of Illinois	bioc-intro	Champaign	Jenny Drnevich, Negin Valizadegan, Yifei Kang	United States
November 2023	Instituto Evandro Chagas	bioc-rnaseq	Belém	Rodrigo Arcoverde Cerveira da Silva	Brazil
15 October 2023	BioCAsia2023	bioc-rnaseq	Hong Kong	David Shih	China
12-13 October 2023	Carnegie Institution	bioc-rnaseq	Baltimore	Javier Carpinteyro-Ponce, Frederick Tan	United States
9-12 October 2023	University of Bergen	bioc-intro	Bergen	Leo Lahti	Norway
October 2023	University of Illinois	bioc-intro	Champaign	Jenny Drnevich, Jessica Holmes, Yifei Kang	United States
18-19 September 2023	EuroBioC2023	bioc-rnaseq	Ghent	Soneson Charlotte, Almut Lütge, Fabricio Almeida-Silva	Belgium
18-19 September 2023	EuroBioC2023	bioc-intro	Ghent	Laurent Gatto, Charlotte Hutchings, Olly Crook, Givanna Putri, Marcel Ramos Pérez	Belgium
31 July-1 August 2023	BioC2023	bioc-intro	Boston	Jenny Drnevich, Sehyun Oh	United States
19-21 June 2023	University of Oulu	bioc-intro	Oulu	Leo Lahti	Finland
March 2023	University of Illinois	bioc-intro	Champaign	Jenny Drnevich, Jessica Holmes, Negin Valizadegan	United States
March 2023	UCLouvain	bioc-intro	Brussels	Laurent Gatto	Belgium
21-24 Feb 2023	Savitribai Phule Pune University	bioc-intro	Pune	Leo Lahti	India
2023	NA	bioc-intro	Uzhhorod	Laurent Gatto	Ukraine
12-13 September 2022	EuroBioC2022	bioc-intro	Heidelberg	Charlotte Soneson, Laurent Gatto	Germany
2022	UCLouvain	bioc-intro	Brussels	Laurent Gatto	Belgium
July 2024	BioC2024	bioc-rnaseq	Grand Rapids	Jenny Drnevich, Tim Triche, Charllote Hutchings	United States
September 2024	EuroBioC2024	bioc-intro	Oxford	Oliver Crook, Marcel Ramos-Perez	United Kingdom
September 2024	EuroBioC2024	bioc-rnaseq	Oxford	Fabricio Almeida-Silva, Robert Ivanek	United Kingdom
