gene,sample,expression,organism,age,sex,infection,strain,time,tissue,mouse
Asl,GSM2545336,1170,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Apod,GSM2545336,36194,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Cyp2d22,GSM2545336,4060,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Klk6,GSM2545336,287,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Fcrls,GSM2545336,85,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Slc2a4,GSM2545336,782,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Exd2,GSM2545336,1619,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gjc2,GSM2545336,288,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Plp1,GSM2545336,43217,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gnb4,GSM2545336,1071,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Tnc,GSM2545336,219,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Trf,GSM2545336,9719,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Tubb2b,GSM2545336,2245,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Fads1,GSM2545336,6498,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Lxn,GSM2545336,1744,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Prr18,GSM2545336,1284,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Cmtm5,GSM2545336,1381,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Enpp1,GSM2545336,388,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
