feature,sample_1,sample_2,sample_3,sample_4
gene_1,109,84,91,105
gene_2,111,97,98,108
gene_3,89,121,105,99
gene_4,105,109,122,101
gene_5,82,97,112,83
gene_6,89,96,90,116
gene_7,121,95,88,106
gene_8,101,101,86,103
gene_9,91,119,89,87
gene_10,81,111,81,118
gene_11,93,118,93,99
gene_12,103,111,116,103
gene_13,89,126,103,100
gene_14,101,107,111,79
gene_15,96,91,103,108
gene_16,110,102,128,103
gene_17,95,106,118,100
gene_18,99,115,114,102
gene_19,114,105,94,118
gene_20,110,88,99,102
gene_21,116,95,94,105
gene_22,114,96,107,91
gene_23,97,120,93,90
gene_24,91,84,118,97
gene_25,99,106,97,110
