seqnames	start	end	strand	gene	ENTREZID	product	gbkey
1	3670552	3671742	-	Xkr4	497097	X Kell blood group precursor related family member 4, transcript variant X1	mRNA
1	3357323	3366505	+	LOC105243853	105243853	uncharacterized LOC105243853, transcript variant X2	ncRNA
1	3658847	3670456	-	LOC105242387	105242387	uncharacterized LOC105242387	ncRNA
1	4233436	4233728	-	LOC105242467	105242467	lipoxygenase homology domain-containing protein 1, transcript variant X2	mRNA
1	4409170	4409241	-	Rp1	19888	retinitis pigmentosa 1 (human), transcript variant 2	mRNA
1	4496291	4497354	-	Sox17	20671	SRY (sex determining region Y)-box 17, transcript variant 5	mRNA
1	4522817	4523591	+	Gm7357	664830	NA	exon
1	4585937	4586737	-	LOC105243855	105243855	uncharacterized LOC105243855	ncRNA
1	4595021	4597596	+	LOC105243854	105243854	uncharacterized LOC105243854, transcript variant X1	ncRNA
1	4609962	4609971	+	Gm7369	664853	NA	exon
1	4616900	4617005	+	Gm29874	102631571	predicted gene, 29874	ncRNA
1	4771105	4772393	+	Gm6123	620009	NA	exon
1	4785573	4785726	-	Mrpl15	27395	mitochondrial ribosomal protein L15, transcript variant 3	misc_RNA
1	4807563	4807982	+	Lypla1	18777	lysophospholipase 1, transcript variant X1	mRNA
1	4846846	4846883	+	LOC105243856	105243856	uncharacterized LOC105243856	ncRNA
1	4857694	4857976	+	Tcea1	21399	transcription elongation factor A (SII) 1, transcript variant 2	mRNA
1	4879202	4880747	-	Gm6104	619829	NA	exon
1	4963270	4963362	-	Rgs20	58175	regulator of G-protein signaling 20, transcript variant X1	mRNA
1	4968430	4971128	+	Gm16041	102631647	predicted gene 16041	ncRNA
1	5082978	5083625	+	Atp6v1h	108664	ATPase, H+ transporting, lysosomal V1 subunit H, transcript variant X1	mRNA
1	5588450	5588663	+	Oprk1	18387	opioid receptor, kappa 1, transcript variant X1	mRNA
1	5913707	5917398	-	Npbwr1	226304	neuropeptides B/W receptor 1	mRNA
1	6214233	6214590	-	4732440D04Rik	654788	RIKEN cDNA 4732440D04 gene, transcript variant X1	misc_RNA
1	6214642	6214957	+	Rb1cc1	12421	RB1-inducible coiled-coil 1, transcript variant X2	mRNA
1	6359331	6359514	+	Fam150a	620393	family with sequence similarity 150, member A	mRNA
1	6380274	6382392	+	Gm2147	100039302	NA	exon
1	6382084	6383180	-	LOC102631893	102631893	NA	exon
1	6487231	6487405	+	St18	240690	suppression of tumorigenicity 18, transcript variant 1	mRNA
1	6916525	6917030	+	LOC102641523	102641523	NA	exon
1	7088891	7089216	+	Pcmtd1	319263	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1, transcript variant X3	mRNA
1	7112006	7112601	-	LOC105243857	105243857	uncharacterized LOC105243857	ncRNA
1	7177675	7179753	+	Gm9826	545302	NA	exon
1	7397718	7398666	-	Gm26901	102632124	predicted gene, 26901, transcript variant X6	ncRNA
1	7664051	7665000	+	Rps2-ps2	665069	NA	exon
1	8122261	8122449	-	LOC105243858	105243858	uncharacterized LOC105243858, transcript variant X2	ncRNA
1	9298133	9301061	-	Sntg1	71096	syntrophin, gamma 1, transcript variant X2	mRNA
1	8791661	8792229	-	Gm15452	100039474	NA	exon
1	8855112	8856334	-	LOC102632599	102632599	NA	exon
1	8856558	8857402	+	LOC102632504	102632504	NA	exon
1	8962659	8963865	-	LOC102632382	102632382	NA	exon
1	9396668	9397426	-	Gm6187	620853	NA	exon
1	9437054	9437187	+	Gm30719	102632723	predicted gene, 30719, transcript variant X2	ncRNA
1	9450516	9451943	+	Gm7512	665138	NA	exon
1	9545408	9547455	+	Rrs1	59014	RRS1 ribosome biogenesis regulator homolog (S. cerevisiae)	mRNA
1	9547969	9548151	+	Adhfe1	76187	alcohol dehydrogenase, iron containing, 1, transcript variant X1	mRNA
1	9631061	9631092	-	2610203C22Rik	72481	RIKEN cDNA 2610203C22 gene	ncRNA
1	9601267	9601650	+	3110035E14Rik	76982	RIKEN cDNA 3110035E14 gene	mRNA
1	9699935	9700439	-	Mybl1	17864	myeloblastosis oncogene-like 1, transcript variant X1	mRNA
1	9745450	9748382	-	Vcpip1	70675	valosin containing protein (p97)/p47 complex interacting protein 1	mRNA
1	9747648	9748604	+	1700034P13Rik	73331	RIKEN cDNA 1700034P13 gene	ncRNA
